Chunk,Cat
Il meurt,SN
de vieillesse,SP
en tentant,SN
de fermer,SP
tous,SN
les onglets ouverts,SN
par,SP
ses parents,SN
Lucas,SN
",",PCTF
", est",PCTF
malheureusement décédé,SA
après avoir tenté,SP
de refermer,SP
les millions,SN
d’ onglets ouverts,SP
sur,SP
l’ ordinateur,SN
de,SP
ses parents,SN
.,PCTF
Récit,SN
.,PCTF
Il est,SN
le,SN
Octobre,SN
quand,C
Lucas,SN
Wavelet,SN
",",PCTF
", retrouve",PCTF
ses parents,SN
pour,SP
le traditionnel déjeuner,SN
du dimanche,SP
.,PCTF
Au menu,SP
: épaule,PCTF
d’ agneau,SP
au thym,SP
", pommes sarladaises",PCTF
", haricots verts",PCTF
du jardin,SP
et,SP
en dessert,SN
:,PCTF
un flan,SN
.,PCTF
Seulement voilà,SN
",",PCTF
c’ est,SN
après avoir englouti,SP
ce succulent repas,SN
qu’,PR
un véritable drame,SN
se produit,SN
.,PCTF
“,PCTF
On venait,SN
de sortir,SP
de table,SP
et là,SP
notre père a demandé,SN
à mon frère,SP
de,SP
l’ aider,SN
à comprendre pourquoi,SP
l’ ordinateur était si lent,SN
”,PCTF
nous confie,SN
Justin,SN
",",PCTF
le frère,SN
de,SP
Lucas,SN
.,PCTF
“,PCTF
Lucas s ’ est assis,SN
derrière,SP
le bureau,SN
et,SP
c’ est,SN
en ouvrant,SN
Internet,SN
Explorer,SN
qu’,PR
il a découvert,SN
des milliers,SN
d’ onglets ouverts,SP
les uns,SN
à,SP
la suite,SN
des autres,SN
.,PCTF
Alors,SN
il,SN
…,PCTF
je,SN
… excusez moi,PCTF
” conclut -il,PCTF
avant,SP
de quitter,SP
précipitamment,SA
la pièce,SN
en éclatant,SN
en sanglots,SN
.,PCTF
Commence,SN
alors,C
une véritable mission-suicide,SN
pour,SP
Lucas,SN
.,PCTF
Page,SN
après page,SP
", onglet",PCTF
après onglet,SP
",",PCTF
il,SN
se met,SN
à,SP
les fermer,SN
les uns,SN
après,SP
les autres,SN
.,PCTF
“,PCTF
Recette,SN
de,SP
la charlotte,SN
aux poires,SP
Marmiton,SN
”,PCTF
Clic,SN
.,PCTF
“,PCTF
dans,SP
un boa,SN
”,PCTF
Clic,SN
.,PCTF
“,PCTF
Jordan,SN
Bardella nu,SN
sur,SP
une bétonnière,SN
”,PCTF
CLICCLICCLICCLICCLIC,SN
!,PCTF
!,PCTF
Et,SP
de,SP
!,PCTF
Ce que,PR
Lucas ne sait pas,SN
",",PCTF
c’ est,SN
que,PR
ce ne sont pas moins,SVc
de,SP
qu’,PR
il reste encore,SN
à fermer,SP
sur,SP
le navigateur,SN
.,PCTF
Animé,SN
d’,SP
une rage folle,SN
",",PCTF
Lucas,SN
se met,SN
à cliquer,SP
frénétiquement,SA
sur chaque onglet,SP
mais impossible,C
d’,SP
en venir,SN
à bout,SP
.,PCTF
Il s ’ injecte,SN
alors,C
violemment,SA
d’ adrénaline pure,SP
directement,SA
dans,SP
le thorax,SN
pour augmenter,SP
la cadence,SN
.,PCTF
Une seringue,SN
qu’,PR
il garde,SN
avec lui,SP
pour,SP
les cas,SN
d’ urgence,SP
comme celui -ci,C
.,PCTF
C’ est inutile,SN
.,PCTF
Chaque onglet est,SN
immédiatement remplacé,SA
par,SP
un nouveau,SN
.,PCTF
Dans,SP
le feu,SN
de,SP
l’ action,SN
",",PCTF
Lucas hésite,SN
à taper,SP
« comment fermer,PCTF
tous,SN
les onglets,SN
d’,SP
un coup,SN
»,PCTF
sur,SP
Google,SN
puis,C
se résigne réalisant,SN
que,PR
cela ouvrirait,SN
un nouvel onglet,SN
.,PCTF
Qu’ importe,PR
.,PCTF
De toutes façons,SP
",",PCTF
Lucas,SN
en est sûr,SN
:,PCTF
il ne doit plus,SN
en rester tant,SN
que,PR
ça,SN
.,PCTF
",",PCTF
c’ est,SN
le corps,SN
totalement desséché,SA
",",PCTF
les joues creusées,SN
",",PCTF
une longue barbe grisonnante descendant,SN
jusqu’,SP
aux chevilles,SP
et,SP
une main osseuse agrippant encore,SN
la souris,SN
de,SP
l’ ordinateur,SN
que,PR
les urgences,SN
retrouvent,SA
Lucas,SN
au domicile,SP
de,SP
ses parents,SN
", mort",PCTF
de vieillesse,SP
.,PCTF
Une fin tragique,SN
qui n’ est pas,PR
sans rappeler,SP
celle,SN
de,SP
Firmin,SN
Guenier,SN
", retrouvé mort",PCTF
d’,SP
épuisement,SA
après avoir tenté,SP
de prononcer,SP
correctement,SA
le nom,SN
de,SP
Benedict,SN
Cumberbatch,SN
.,PCTF
